"party","year","support"
1,1971,0.4358974359
2,1971,0.14685314685
3,1971,0.23193473193
4,1971,0.17365967366
8,1971,0.011655011655
9,1971,0
16,1971,0
1,1975,0.43619791667
2,1975,0.1640625
3,1975,0.26692708333
4,1975,0.1328125
8,1975,0
9,1975,0
16,1975,0
1,1979,0.44696066746
2,1979,0.063170441001
3,1979,0.25864123957
4,1979,0.23122765197
9,1979,0
16,1979,0
8,1979,0
1,1983,0.32817679558
2,1983,0.11712707182
3,1983,0.17900552486
4,1983,0.33701657459
8,1983,0.038674033149
9,1983,0
16,1983,0
1,1987,0.44404761905
2,1987,0.09880952381
3,1987,0.20714285714
4,1987,0.15833333333
8,1987,0.035714285714
9,1987,0.013095238095
13,1987,0.042857142857
16,1987,0
1,1991,0.36860465116
2,1991,0.11279069767
3,1991,0.17674418605
4,1991,0.26976744186
8,1991,0.070930232558
9,1991,0
16,1991,0.001162790698
1,1995,0.50827423168
2,1995,0.12647754137
3,1995,0.073286052009
4,1995,0.21631205674
8,1995,0.042553191489
9,1995,0
13,1995,0.003546099291
16,1995,0.029550827423
1,1999,0.30925925926
2,1999,0.10648148148
3,1999,0.17314814815
4,1999,0.35185185185
8,1999,0.049074074074
9,1999,0
16,1999,0.010185185185
1,2003,0.2425222312
2,2003,0.021827000808
3,2003,0.14470493129
4,2003,0.47857720291
7,2003,0.016168148747
8,2003,0.063864187551
9,2003,0
13,2003,0.016168148747
16,2003,0.016168148747
1,2007,0.19373634377
2,2007,0.10196649672
3,2007,0.12163146395
4,2007,0.46394756009
7,2007,0.024763292061
8,2007,0.037873270211
9,2007,0
13,2007,0.029861616897
16,2007,0.0262199563
1,2011,0.1800418702
2,2011,0.076762037683
3,2011,0.12909979065
4,2011,0.35659455687
7,2011,0.022330774599
8,2011,0.018143754362
9,2011,0
13,2011,0.032100488486
16,2011,0.011863224006
31,2011,0.067690160502
32,2011,0.10537334264
