"party","year","support"
1,1971,0.001238773614
2,1971,0.64602043976
3,1971,0.3511923196
8,1971,0.001548467018
9,1971,0
16,1971,0
1,1975,0.003745318352
2,1975,0.68814716898
3,1975,0.29643093192
8,1975,0.011676580745
9,1975,0
16,1975,0
1,1979,0.106188801221
2,1979,0.74997623348
3,1979,0.087841049529
9,1979,0
16,1979,0
8,1979,0.055993915771
1,1983,0.057535501603
2,1983,0.76106275767
3,1983,0.17993586807
8,1983,0.001465872652
9,1983,0
16,1983,0
1,1987,0.038403080353
2,1987,0.72641605026
3,1987,0.22646671395
8,1987,0.001114601277
9,1987,0
13,1987,0.007599554159
16,1987,0
1,1991,0.028912938136
2,1991,0.67323534162
3,1991,0.2880794702
8,1991,0
9,1991,0
13,1991,0.00977225004
16,1991,0
1,1995,0.021421845574
2,1995,0.68683301946
3,1995,0.28837099812
8,1995,0
9,1995,0
13,1995,0.003374136849
16,1995,0
1,1999,0.025873655914
2,1999,0.57426075269
3,1999,0.33316532258
4,1999,0.065104166667
8,1999,0
9,1999,0
13,1999,0.001596102151
16,1999,0
1,2003,0.008141005375
2,2003,0.56125513753
3,2003,0.3457951312
4,2003,0.080698703762
8,2003,0
9,2003,0
13,2003,0.004110022131
16,2003,0
1,2007,0.017858449828
2,2007,0.70584791041
3,2007,0.14725902071
4,2007,0.1119080729
8,2007,0.003439947303
9,2007,0
13,2007,0.013686598844
16,2007,0
1,2011,0.011355034065
2,2011,0.7000894639
3,2011,0.13722386622
4,2011,0.12738283669
8,2011,0.001101094212
9,2011,0
13,2011,0.018374509669
16,2011,0
32,2011,0.004473195238
