"party","year","support"
1,1971,0.21147540984
2,1971,0.63729508197
3,1971,0.087704918033
4,1971,0.041393442623
8,1971,0.022131147541
9,1971,0
16,1971,0
1,1975,0.16011539849
2,1975,0.65524702488
3,1975,0.16913090516
4,1975,0.013342949874
8,1975,0.002163721601
9,1975,0
16,1975,0
1,1979,0.15611940299
2,1979,0.50925373134
3,1979,0.32686567164
4,1979,0.00776119403
9,1979,0
16,1979,0
8,1979,0
1,1983,0.14782836211
2,1983,0.46049188906
3,1983,0.29618001047
4,1983,0.018838304553
8,1983,0.076661433805
9,1983,0
16,1983,0
1,1987,0.16217702034
2,1987,0.44942275976
3,1987,0.24024189115
4,1987,0.006871907642
8,1987,0.111324903793
9,1987,0.009895547004
13,1987,0.020065970313
16,1987,0
1,1991,0.13529898044
2,1991,0.37117663268
3,1991,0.24800220446
4,1991,0.028933590521
8,1991,0.205566271703
9,1991,0
16,1991,0.011022320198
1,1995,0.11097217881
2,1995,0.31853704283
3,1995,0.20443888715
4,1995,0.073773054079
8,1995,0.275085964362
9,1995,0.000625195374
13,1995,0.010003125977
16,1995,0.006564551422
1,1999,0.052179962894
2,1999,0.38891465677
3,1999,0.15746753247
4,1999,0.12476808905
8,1999,0.276669758815
9,1999,0
16,1999,0
1,2003,0.092556508184
2,2003,0.28975058457
3,2003,0.18355416991
4,2003,0.15627435698
7,2003,0.002727981294
8,2003,0.251169134836
9,2003,0
13,2003,0.020654715511
16,2003,0.003312548714
1,2007,0.13153875525
2,2007,0.25849560901
3,2007,0.18919434899
4,2007,0.20064910271
7,2007,0.002863688431
8,2007,0.16590301642
9,2007,0
13,2007,0.044673539519
16,2007,0.006681939672
1,2011,0.098256141009
2,2011,0.22801425089
3,2011,0.22970185637
4,2011,0.23832739546
7,2011,0.003000187512
8,2011,0.114007125444
9,2011,0
13,2011,0.030564410276
16,2011,0.005812863304
31,2011,0.035252203263
32,2011,0.017063566473
