"party","year","support"
1,1971,0.75339805825
3,1971,0.24660194175
8,1971,0
9,1971,0
16,1971,0
1,1975,0.51356589147
2,1975,0.20930232558
3,1975,0.27713178295
8,1975,0
9,1975,0
16,1975,0
1,1979,0
9,1979,0
16,1979,0
8,1979,0
1,1983,0.3214953271
2,1983,0.14205607477
3,1983,0.35140186916
8,1983,0.18504672897
9,1983,0
16,1983,0
1,1987,0
8,1987,0
9,1987,0
16,1987,0
1,1991,0.34396355353
2,1991,0.10933940774
8,1991,0.36218678815
9,1991,0
16,1991,0.18451025057
1,1995,0.27429149798
2,1995,0.039473684211
3,1995,0.1963562753
4,1995,0.46052631579
8,1995,0.011133603239
9,1995,0
16,1995,0.018218623482
1,1999,0.21723189734
3,1999,0.27222731439
4,1999,0.51054078827
8,1999,0
9,1999,0
16,1999,0
1,2003,0.27946768061
3,2003,0.14448669202
4,2003,0.57414448669
8,2003,0.001901140684
9,2003,0
16,2003,0
1,2007,0.73400673401
8,2007,0.26599326599
9,2007,0
16,2007,0
1,2011,0.39139344262
2,2011,0.073770491803
4,2011,0.48360655738
8,2011,0
9,2011,0
13,2011,0.051229508197
16,2011,0
