"party","year","support"
1,1971,0
8,1971,0
9,1971,0
16,1971,0
1,1975,0
8,1975,0
9,1975,0
16,1975,0
1,1979,0
9,1979,0
16,1979,0
8,1979,0
1,1983,0
8,1983,0
9,1983,0
16,1983,0
1,1987,0
8,1987,0
9,1987,0
16,1987,0
1,1991,0.014519056261
2,1991,0
3,1991,0.032667876588
4,1991,0.32486388385
7,1991,0
8,1991,0.57168784029
9,1991,0.001814882033
13,1991,0.05444646098
16,1991,0
1,1995,0.037037037037
2,1995,0
3,1995,0.023965141612
4,1995,0.27668845316
7,1995,0
8,1995,0.64923747277
9,1995,0.00871459695
13,1995,0.002178649237
16,1995,0.002178649237
1,1999,0.021164021164
2,1999,0.060846560847
3,1999,0.44444444444
4,1999,0.2962962963
7,1999,0
8,1999,0
9,1999,0
13,1999,0.17724867725
16,1999,0
1,2003,0
2,2003,0
3,2003,0.054298642534
4,2003,0.18099547511
7,2003,0.004524886878
8,2003,0.665158371046
9,2003,0
13,2003,0.067873303167
16,2003,0.027149321267
1,2007,0.006993006993
2,2007,0
3,2007,0.41258741259
4,2007,0.36363636364
7,2007,0
8,2007,0
9,2007,0
13,2007,0.21678321678
16,2007,0
1,2011,0.052631578947
2,2011,0
3,2011,0.036437246964
4,2011,0.27327935223
7,2011,0.006072874494
8,2011,0.36437246964
9,2011,0
13,2011,0.18218623482
16,2011,0.008097165992
31,2011,0
32,2011,0.076923076923
