"party","year","support"
1,1971,0.047962259206
2,1971,0.001638055301
3,1971,0.084589175731
4,1971,0.76595465863
7,1971,0.075809199319
8,1971,0.009828331804
9,1971,0
16,1971,0.014218320011
1,1975,0.046301348507
2,1975,0.000389741991
3,1975,0.075999688206
4,1975,0.7500974355
7,1975,0.074518668641
8,1975,0.015511731234
9,1975,0
16,1975,0.037181385923
1,1979,0.056339031339
2,1979,0.000641025641
3,1979,0.082905982906
4,1979,0.76809116809
7,1979,0.049715099715
9,1979,0.013034188034
16,1979,0.014886039886
8,1979,0.014387464388
1,1983,0.043674020711
2,1983,0.000257284364
3,1983,0.04862674471
4,1983,0.78677558371
7,1983,0.048240818164
8,1983,0.031838939989
9,1983,0.019167685084
16,1983,0.021418923265
1,1987,0.046189996643
2,1987,0.000872776099
3,1987,0.072373279624
4,1987,0.71614635784
7,1987,0.040684793555
8,1987,0.035045317221
9,1987,0.011816045653
13,1987,0.046525679758
16,1987,0.030345753609
1,1991,0.048564285173
2,1991,0.0019698462
3,1991,0.068565800439
4,1991,0.65671641791
7,1991,0.045457989242
8,1991,0.013788923403
9,1991,0.002879005985
13,1991,0.053867717251
16,1991,0.108190014395
1,1995,0.093823446461
2,1995,0.001880229388
3,1995,0.075021152581
4,1995,0.61680925073
7,1995,0.05791106515
8,1995,0.010623296042
9,1995,0.010811318981
13,1995,0.038074645107
16,1995,0.095045595563
1,1999,0.10574158241
2,1999,0.004637788702
3,1999,0.12976532789
4,1999,0.54957796123
7,1999,0.070401632502
8,1999,0.015304702718
9,1999,0
13,1999,0.032835544013
16,1999,0.091735460532
1,2003,0.099249102187
2,2003,0.005114811187
3,2003,0.1118728915
4,2003,0.55729676787
7,2003,0.082707585156
8,2003,0.014473827403
9,2003,0
13,2003,0.051909892262
16,2003,0.077375122429
1,2007,0.098003940718
2,2007,0.017733230532
3,2007,0.094320226163
4,2007,0.56686370256
7,2007,0.082755075816
8,2007,0.016105542705
9,2007,0
13,2007,0.058939432879
16,2007,0.065278848626
1,2011,0.051180785041
2,2011,0.008059966148
3,2011,0.097525590393
4,2011,0.49705811236
7,2011,0.091238816797
8,2011,0.023051503184
9,2011,0.002014991537
13,2011,0.030386072378
16,2011,0.03917143548
31,2011,0.032320464254
32,2011,0.12799226243
