"party","year","support"
1,1971,0.38088980665
2,1971,0.19241599399
3,1971,0.33790125774
8,1971,0.048620236531
9,1971,0
16,1971,0.040172705087
1,1975,0.37594780462
2,1975,0.17721742197
3,1975,0.41403632516
8,1975,0.002645036149
9,1975,0.030153412097
16,1975,0
1,1979,0.45629042353
2,1979,0.21969538911
3,1979,0.29417901106
9,1979,0.029835176298
16,1979,0
8,1979,0
1,1983,0.37303370787
2,1983,0.23336214347
3,1983,0.32445980985
8,1983,0.039757994814
9,1983,0.029386343993
16,1983,0
1,1987,0.37666079718
2,1987,0.20681927325
3,1987,0.28621738434
8,1987,0.077317112214
9,1987,0.002721306227
16,1987,0.050264126781
1,1991,0.3050397878
2,1991,0.20689655172
3,1991,0.27685676393
7,1991,0.005139257294
8,1991,0.073110079576
9,1991,0
13,1991,0.063826259947
16,1991,0.069131299735
1,1995,0.28084512657
2,1995,0.16563683476
3,1995,0.27546342436
4,1995,0.053817022125
8,1995,0.031293601754
9,1995,0
13,1995,0.054414989037
16,1995,0.138529001392
1,1999,0.27522603978
2,1999,0.14719710669
3,1999,0.34647377939
4,1999,0.17432188065
8,1999,0.009764918626
9,1999,0
13,1999,0.030198915009
16,1999,0.016817359855
1,2003,0.28658304827
2,2003,0.1776890916
3,2003,0.27993158495
4,2003,0.20201444318
7,2003,0.005701254276
8,2003,0
9,2003,0
13,2003,0.048080577727
16,2003,0
1,2007,0.22673611111
2,2007,0.19149305556
3,2007,0.2140625
4,2007,0.27881944444
7,2007,0.009895833333
8,2007,0
9,2007,0
13,2007,0.073611111111
16,2007,0.005381944444
1,2011,0.18422225524
2,2011,0.16312583569
3,2011,0.2036844451
4,2011,0.26712227009
7,2011,0.00519982172
8,2011,0.01649086317
9,2011,0
13,2011,0.059426533947
16,2011,0.002674194028
31,2011,0.05125538553
32,2011,0.046798395484
