"party","year","support"
1,1971,0.20749665328
2,1971,0.61133422579
3,1971,0.10486390004
4,1971,0.051316376618
8,1971,0.024988844266
9,1971,0
16,1971,0
1,1975,0.20209723546
2,1975,0.64156339371
3,1975,0.1167778837
4,1975,0.033365109628
8,1975,0.006196377502
9,1975,0
16,1975,0
1,1979,0.22588674549
2,1979,0.47728686994
3,1979,0.21032980709
4,1979,0.086496577474
9,1979,0
16,1979,0
8,1979,0
1,1983,0.19205298013
2,1983,0.49315673289
3,1983,0.15364238411
4,1983,0.11037527594
8,1983,0.050772626932
9,1983,0
16,1983,0
1,1987,0.1654822335
2,1987,0.49187817259
3,1987,0.15228426396
4,1987,0.10812182741
8,1987,0.051269035533
9,1987,0.009644670051
13,1987,0.021319796954
16,1987,0
1,1991,0.15844273427
2,1991,0.5110909914
3,1991,0.11272068809
4,1991,0.11634223631
8,1991,0.0991398823
9,1991,0
16,1991,0.002263467632
1,1995,0.11835973905
2,1995,0.53588070829
3,1995,0.094594594595
4,1995,0.099720410065
8,1995,0.135135135137
9,1995,0.001863932898
13,1995,0.006989748369
16,1995,0.007455731594
1,1999,0.12482853224
2,1999,0.4545038866
3,1999,0.12985825332
4,1999,0.087334247828
8,1999,0.200731595794
9,1999,0
16,1999,0.002743484225
1,2003,0.1250919794
2,2003,0.3668138337
3,2003,0.17807211185
4,2003,0.1710816777
7,2003,0.001471670346
8,2003,0.133186166298
9,2003,0
13,2003,0.018763796909
16,2003,0.005518763797
1,2007,0.18747951491
2,2007,0.33857751557
3,2007,0.19960668633
4,2007,0.20517862996
7,2007,0.003605375287
8,2007,0.028187479515
9,2007,0
13,2007,0.036709275647
16,2007,0.000655522779
1,2011,0.18776578345
2,2011,0.29244357213
3,2011,0.23127248937
4,2011,0.17762512267
7,2011,0.004906771344
8,2011,0.028132155709
9,2011,0
13,2011,0.044815178279
16,2011,0
31,2011,0.025515210991
32,2011,0.007523716061
