"party","year","support"
1,1971,0.005434782609
2,1971,0.91847826087
3,1971,0.030434782609
4,1971,0.045652173913
8,1971,0
9,1971,0
16,1971,0
1,1975,0.082256169213
2,1975,0.80376028202
3,1975,0.045828437133
4,1975,0.062279670975
8,1975,0
9,1975,0
16,1975,0.005875440658
1,1979,0.085825747724
2,1979,0.83615084525
3,1979,0.045513654096
4,1979,0.032509752926
9,1979,0
16,1979,0
8,1979,0
1,1983,0.13134328358
2,1983,0.70447761194
3,1983,0.073134328358
4,1983,0.091044776119
8,1983,0
9,1983,0
16,1983,0
1,1987,0.15177304965
2,1987,0.57304964539
3,1987,0.1219858156
4,1987,0.09219858156
8,1987,0.048226950355
9,1987,0.012765957447
16,1987,0
1,1991,0.090062111801
2,1991,0.60559006211
3,1991,0.07298136646
4,1991,0.14285714286
8,1991,0.068322981366
9,1991,0.020186335404
16,1991,0
1,1995,0.10274963821
2,1995,0.50651230101
3,1995,0.082489146165
4,1995,0.27641099855
8,1995,0.021707670043
9,1995,0.002894356006
13,1995,0.007235890014
16,1995,0
1,1999,0.085808580858
2,1999,0.60506050605
3,1999,0.13091309131
4,1999,0.16171617162
8,1999,0.016501650165
9,1999,0
16,1999,0
1,2003,0.1043219076
2,2003,0.44560357675
3,2003,0.11177347243
4,2003,0.32786885246
8,2003,0
9,2003,0
16,2003,0.01043219076
1,2007,0.10793650794
2,2007,0.38888888889
3,2007,0.1619047619
4,2007,0.33174603175
8,2007,0.003174603175
9,2007,0
16,2007,0.006349206349
1,2011,0.17550058893
2,2011,0.32273262662
3,2011,0.053003533569
4,2011,0.11896348645
8,2011,0
9,2011,0
13,2011,0.007067137809
16,2011,0.011778563015
31,2011,0.051825677267
32,2011,0.25912838634
