"party","year","support"
1,1971,0.21263267792
2,1971,0.40299286584
3,1971,0.16217156777
4,1971,0.1171045763
7,1971,0.002088045937
8,1971,0.052549156081
9,1971,0
16,1971,0.050461110144
1,1975,0.18491484185
2,1975,0.46204379562
3,1975,0.13211678832
4,1975,0.10510948905
7,1975,0.004136253041
8,1975,0.050851581509
9,1975,0.000243309002
16,1975,0.060583941606
1,1979,0.17845698792
2,1979,0.49617944294
3,1979,0.1298989401
4,1979,0.12570865171
7,1979,0.0103524772
9,1979,0
16,1979,0.036480157752
8,1979,0.022923342371
1,1983,0.18079616661
2,1983,0.43494286767
3,1983,0.19037965352
4,1983,0.1144489495
7,1983,0.011979358644
8,1983,0.052156284556
9,1983,0
16,1983,0.015296719499
1,1987,0.12859969224
2,1987,0.38513959112
3,1987,0.22620356122
4,1987,0.12837986371
7,1987,0.003737085074
8,1987,0.030116509122
9,1987,0.060672675313
16,1987,0.037151022203
1,1991,0.14851081191
2,1991,0.28988168095
3,1991,0.1409628723
4,1991,0.17441860465
7,1991,0.012239902081
8,1991,0.017747858017
9,1991,0
13,1991,0.05650754794
16,1991,0.159730722156
1,1995,0.1409287257
2,1995,0.29427645788
3,1995,0.17512598992
4,1995,0.15082793377
7,1995,0.005939524838
8,1995,0.02195824334
9,1995,0.002339812815
13,1995,0.044096472282
16,1995,0.164506839452
1,1999,0.14278744511
2,1999,0.28882745162
3,1999,0.20735078875
4,1999,0.24784517808
7,1999,0.008781915759
8,1999,0.009432428037
9,1999,0
13,1999,0.046186371768
16,1999,0.048788420881
1,2003,0.1514764565
2,2003,0.21739824421
3,2003,0.18786911413
4,2003,0.36137270551
7,2003,0.01851556265
8,2003,0.007661612131
9,2003,0.000957701516
13,2003,0.04213886672
16,2003,0.012609736632
1,2007,0.12712659076
2,2007,0.18178164769
3,2007,0.16718017415
4,2007,0.37937039518
7,2007,0.014065639652
8,2007,0.03215003349
9,2007,0
13,2007,0.065237776289
16,2007,0.033087742799
1,2011,0.06684698609
2,2011,0.12660999485
3,2011,0.17194744977
4,2011,0.36488923235
7,2011,0.010561566203
8,2011,0.026532715095
9,2011,0
13,2011,0.079726944874
16,2011,0.017645543535
31,2011,0.030911901082
32,2011,0.10432766615
