"party","year","support"
1,1971,0.002172338885
2,1971,0.95727733526
3,1971,0.028240405503
4,1971,0.012309920348
8,1971,0
9,1971,0
16,1971,0
1,1975,0.034663178548
2,1975,0.86984957489
3,1975,0.024852844997
4,1975,0.056245912361
8,1975,0.006540222368
9,1975,0
16,1975,0.007848266841
1,1979,0.004848484848
2,1979,0.97212121212
3,1979,0.014545454545
4,1979,0.008484848485
9,1979,0
16,1979,0
8,1979,0
1,1983,0.038961038961
2,1983,0.87471352177
3,1983,0.062643239114
4,1983,0.023682200153
8,1983,0
9,1983,0
16,1983,0
1,1987,0.022332506203
2,1987,0.69230769231
3,1987,0.18610421836
4,1987,0.038047973532
8,1987,0.04052936311
9,1987,0.020678246485
16,1987,0
1,1991,0.018975332068
2,1991,0.67931688805
3,1991,0.10246679317
4,1991,0.045540796964
8,1991,0.129032258064
9,1991,0.024667931689
16,1991,0
1,1995,0.031205673759
2,1995,0.83687943262
3,1995,0.017021276596
4,1995,0.10212765957
8,1995,0.008510638298
9,1995,0
13,1995,0.004255319149
16,1995,0
1,1999,0.025641025641
2,1999,0.72874493927
3,1999,0.087719298246
4,1999,0.14979757085
8,1999,0.008097165992
9,1999,0
16,1999,0
1,2003,0.028875379939
2,2003,0.70516717325
3,2003,0.098784194529
4,2003,0.15045592705
8,2003,0
9,2003,0
16,2003,0.016717325228
1,2007,0.035769828927
2,2007,0.67029548989
3,2007,0.099533437014
4,2007,0.19440124417
8,2007,0
9,2007,0
16,2007,0
1,2011,0.050583657588
2,2011,0.63683527886
3,2011,0.054474708171
4,2011,0.12451361868
8,2011,0
9,2011,0
13,2011,0.02075226978
16,2011,0
31,2011,0.02075226978
32,2011,0.092088197147
