"party","year","support"
1,1971,0.07858546169
2,1971,0.39685658153
3,1971,0.068762278978
4,1971,0.41453831041
8,1971,0.041257367387
9,1971,0
16,1971,0
1,1975,0.16149870801
2,1975,0.46253229974
3,1975,0.14470284238
4,1975,0.22609819121
8,1975,0.005167958656
9,1975,0
16,1975,0
1,1979,0.12164179104
2,1979,0.40597014925
3,1979,0.21119402985
4,1979,0.26119402985
9,1979,0
16,1979,0
8,1979,0
1,1983,0.11459353575
2,1983,0.37904015671
3,1983,0.11459353575
4,1983,0.34965719882
8,1983,0.042115572968
9,1983,0
16,1983,0
1,1987,0.11320754717
2,1987,0.28066037736
3,1987,0.069575471698
4,1987,0.45283018868
8,1987,0.025943396226
9,1987,0.016509433962
13,1987,0.041273584906
16,1987,0
1,1991,0.16484440706
2,1991,0.22708158116
3,1991,0.10092514718
4,1991,0.42136248949
8,1991,0.083263246426
9,1991,0
16,1991,0.00252312868
1,1995,0.12725779967
2,1995,0.38177339901
3,1995,0.11494252874
4,1995,0.28407224959
8,1995,0.080459770115
9,1995,0
13,1995,0.011494252874
16,1995,0
1,1999,0.20784313725
2,1999,0.32549019608
3,1999,0.15058823529
4,1999,0.20941176471
8,1999,0.106666666667
9,1999,0
16,1999,0
1,2003,0.12835472579
2,2003,0.24329054842
3,2003,0.22287047841
4,2003,0.26954492415
7,2003,0.011085180863
8,2003,0.062427071179
9,2003,0
13,2003,0.035005834306
16,2003,0.027421236873
1,2007,0.063875469673
2,2007,0.24852388621
3,2007,0.23993558776
4,2007,0.3360171766
7,2007,0.005367686527
8,2007,0.032206119163
9,2007,0
13,2007,0.062265163714
16,2007,0.01180891036
1,2011,0.11469712016
2,2011,0.18967229394
3,2011,0.25322740814
4,2011,0.27159880834
7,2011,0.007944389275
8,2011,0.044190665342
9,2011,0
13,2011,0.050645481629
16,2011,0.029791459782
31,2011,0.024826216485
32,2011,0.013406156902
