"party","year","support"
1,1971,0.1942647693
2,1971,0.001293661061
3,1971,0.3326865028
4,1971,0.4046284318
7,1971,0.006683915481
8,1971,0.036222509703
9,1971,0
16,1971,0.024220209861
1,1975,0.26536591863
2,1975,0.000466138377
3,1975,0.29047079976
4,1975,0.36831590864
7,1975,0.015182792835
8,1975,0.024438969169
9,1975,0.004395018979
16,1975,0.03136445362
1,1979,0.27225382582
2,1979,0.002804262479
3,1979,0.28875891355
4,1979,0.35493950805
7,1979,0.010095344924
9,1979,0.023956413749
16,1979,0.022994952327
8,1979,0.024196779104
1,1983,0.23107331991
2,1983,0.002535988663
3,1983,0.3279630044
4,1983,0.3360930857
7,1983,0.003132691877
8,1983,0.047587081375
9,1983,0.029685984934
16,1983,0.021928843142
1,1987,0.29654345055
2,1987,0.002399340181
3,1987,0.22973682237
4,1987,0.33343330584
7,1987,0.004048886556
8,1987,0.035990102722
9,1987,0.011021968959
13,1987,0.061783009672
16,1987,0.025043113144
1,1991,0.23655747837
2,1991,0.001236093943
3,1991,0.24737330037
4,1991,0.29604449938
7,1991,0.011665636588
8,1991,0.029202719407
9,1991,0.027580346107
13,1991,0.084286155748
16,1991,0.066053770086
1,1995,0.301274859767
2,1995,0.003467618562
3,1995,0.25303416624
4,1995,0.24028556859
7,1995,0.00907700153
8,1995,0.029984701683
9,1995,0.023865374809
13,1995,0.057623661397
16,1995,0.081387047425
1,1999,0.33613040123
2,1999,0.007137345679
3,1999,0.27237654321
4,1999,0.21469907407
7,1999,0.004726080247
8,1999,0.022280092592
9,1999,0
13,1999,0.09837962963
16,1999,0.044270833333
1,2003,0.26543770432
2,2003,0.012804213585
3,2003,0.30167090447
4,2003,0.26044315292
7,2003,0.014438794043
8,2003,0.006084271703
9,2003,0
13,2003,0.099164547766
16,2003,0.039956411188
1,2007,0.25067294751
2,2007,0.023300807537
3,2007,0.20945491252
4,2007,0.31056527591
7,2007,0.015982503365
8,2007,0.021534320323
9,2007,0
13,2007,0.14308546433
16,2007,0.025403768506
1,2011,0.14776225432
2,2011,0.01247138685
3,2011,0.21375009867
4,2011,0.2570052885
7,2011,0.014444707554
8,2011,0.028573683795
9,2011,0.000394664141
13,2011,0.07261820191
16,2011,0.004104507064
31,2011,0.071907806457
32,2011,0.17696740074
