"party","year","support"
1,1971,0.096317280453
2,1971,0.014164305949
3,1971,0.42115203022
4,1971,0.46836638338
8,1971,0
9,1971,0
16,1971,0
1,1975,0.154626109
2,1975,0.030418250951
3,1975,0.23067173638
4,1975,0.49049429658
8,1975,0
9,1975,0
16,1975,0.093789607098
1,1979,0.19102416571
2,1979,0.070195627158
3,1979,0.28423475259
4,1979,0.45454545455
9,1979,0
16,1979,0
8,1979,0
1,1983,0.20477386935
2,1983,0.072864321608
3,1983,0.3391959799
4,1983,0.38316582915
8,1983,0
9,1983,0
16,1983,0
1,1987,0.22281449893
2,1987,0.10767590618
3,1987,0.21108742004
4,1987,0.27185501066
8,1987,0.054371002132
9,1987,0.13219616205
16,1987,0
1,1991,0.22345132743
2,1991,0.068584070796
3,1991,0.22566371681
4,1991,0.34955752212
8,1991,0.070796460177
9,1991,0.061946902655
16,1991,0
1,1995,0.11741528763
2,1995,0.22773837667
3,1995,0.26556343578
4,1995,0.25847123719
8,1995,0.047281323877
9,1995,0.014972419228
13,1995,0.068557919622
16,1995,0
1,1999,0.17510040161
2,1999,0.05702811245
3,1999,0.40803212851
4,1999,0.26666666667
8,1999,0.093172690763
9,1999,0
16,1999,0
1,2003,0.16694352159
2,2003,0.049003322259
3,2003,0.38953488372
4,2003,0.3803986711
8,2003,0
9,2003,0
16,2003,0.014119601329
1,2007,0.16841369672
2,2007,0.070580013976
3,2007,0.34800838574
4,2007,0.40111809923
8,2007,0.005590496157
9,2007,0
16,2007,0.006289308176
1,2011,0.082563510393
2,2011,0.053695150115
3,2011,0.19284064665
4,2011,0.22979214781
8,2011,0
9,2011,0
13,2011,0.014434180139
16,2011,0.001732101617
31,2011,0.17840646651
32,2011,0.24653579677
