"party","year","support"
1,1971,0.1650329188
2,1971,0.001316752012
3,1971,0.43207754206
4,1971,0.27937088515
7,1971,0.033247988296
8,1971,0.043525969276
9,1971,0
16,1971,0.045427944404
1,1975,0.1604981378
2,1975,0.008379888268
3,1975,0.4239990689
4,1975,0.29158907511
7,1975,0.019359093731
8,1975,0.037205152079
9,1975,0.003763190565
16,1975,0.055206393544
1,1979,0.17976424361
2,1979,0.007559579739
3,1979,0.43888271974
4,1979,0.28252327667
7,1979,0.024771504228
9,1979,0.019048432562
16,1979,0.034167592039
8,1979,0.013282651405
1,1983,0.15298907221
2,1983,0.003985429612
3,1983,0.3792157703
4,1983,0.29925005357
7,1983,0.032783372616
8,1983,0.047310906364
9,1983,0.024341118491
16,1983,0.060124276837
1,1987,0.14247913698
2,1987,0.000407083249
3,1987,0.29569509465
4,1987,0.32067982903
7,1987,0.030734785264
8,1987,0.041166293507
9,1987,0.005088540607
13,1987,0.067932017097
16,1987,0.095817219621
1,1991,0.11083036068
2,1991,0.009611573524
3,1991,0.25089179548
4,1991,0.30226912406
7,1991,0.043053904082
8,1991,0.029875148632
9,1991,0.013129211256
13,1991,0.066587395957
16,1991,0.173751486325
1,1995,0.163823925914
2,1995,0.010726217689
3,1995,0.22993962839
4,1995,0.28245706582
7,1995,0.08018287322
8,1995,0.009436727038
9,1995,0.011781255495
13,1995,0.026141492292
16,1995,0.185510814137
1,1999,0.17514295835
2,1999,0.007438894793
3,1999,0.23748798138
4,1999,0.32346541167
7,1999,0.11816203633
8,1999,0.016446536106
9,1999,0
13,1999,0.03466423764
16,1999,0.087191943727
1,2003,0.15343760659
2,2003,0.014374116845
3,2003,0.24577303513
4,2003,0.32500121815
7,2003,0.12926959996
8,2003,0.013691955367
9,2003,0
13,2003,0.057399015738
16,2003,0.061053452224
1,2007,0.1561279854
2,2007,0.026469245981
3,2007,0.19801227118
4,2007,0.34445514933
7,2007,0.1090715481
8,2007,0.011409157751
9,2007,0
13,2007,0.087419502054
16,2007,0.067035140206
1,2011,0.089554941821
2,2011,0.009915334812
3,2011,0.18064925069
4,2011,0.32032417259
7,2011,0.083442749128
8,2011,0.034681034092
9,2011,0.003848417621
13,2011,0.061212477928
16,2011,0.032326708019
31,2011,0.042196767329
32,2011,0.14184814597
