"party","year","support"
1,1971,0.25088628713
2,1971,0.076176006197
3,1971,0.43307415021
4,1971,0.19434265797
7,1971,0.015982959454
8,1971,0.018693955373
9,1971,0
16,1971,0.010843983675
1,1975,0.33115171692
2,1975,0.013392350471
3,1975,0.33438000479
4,1975,0.16490750199
7,1975,0.006607901739
8,1975,0.141666351401
9,1975,0.002559931399
16,1975,0.00533424129
1,1979,0.2306102235
2,1979,0.0005741929
3,1979,0.39494423151
4,1979,0.15747240285
7,1979,0.012201599127
9,1979,0.004062414768
16,1979,0.039375278126
8,1979,0.160759657206
1,1983,0.22812413994
2,1983,0.00150560961
3,1983,0.39468017938
4,1983,0.15039906749
7,1983,0.02433259402
8,1983,0.148666806976
9,1983,0.012967669866
16,1983,0.039323932717
1,1987,0.24353170132
2,1987,0.002028065144
3,1987,0.36279832019
4,1987,0.12711256786
7,1987,0.02273891222
8,1987,0.120106524629
9,1987,0.020731332582
13,1987,0.019563658711
16,1987,0.081388917341
1,1991,0.20411365564
2,1991,0.001081424936
3,1991,0.27667514843
4,1991,0.16781170483
7,1991,0.017960135708
8,1991,0.144826123836
9,1991,0.014440203562
13,1991,0.021946564885
16,1991,0.151145038168
1,1995,0.24393362588
2,1995,0.001162418994
3,1995,0.32347214553
4,1995,0.14570922089
7,1995,0.011013919967
8,1995,0.125948097996
9,1995,0.015256749295
13,1995,0.017814071082
16,1995,0.11568975037
1,1999,0.14107466291
2,1999,0.066478835446
3,1999,0.46619038036
4,1999,0.1819614946
7,1999,0.016200442745
8,1999,0.013584222177
9,1999,0
13,1999,0.031159857785
16,1999,0.083350103979
1,2003,0.099496639238
2,2003,0.004913042168
3,2003,0.39424902794
4,2003,0.17274015131
7,2003,0.038038400096
8,2003,0.177351779848
9,2003,0
13,2003,0.046508123097
16,2003,0.066702836302
1,2007,0.17975156288
2,2007,0.024951963411
3,2007,0.32378014127
4,2007,0.24259154015
7,2007,0.058915861546
8,2007,0.008741306054
9,2007,0
13,2007,0.10199994587
16,2007,0.059267678817
1,2011,0.087068132399
2,2011,0.022589997584
3,2011,0.32112225175
4,2011,0.25884875574
7,2011,0.081420633003
8,2011,0.069793428364
9,2011,0.001932834018
13,2011,0.082870258517
16,2011,0.032888378836
31,2011,0.009815172747
32,2011,0.031650157043
