"party","year","support"
1,1971,0.15348221288
2,1971,0.32572222008
3,1971,0.14787673082
4,1971,0.2347231329
7,1971,0.00285416747
8,1971,0.125827644288
9,1971,0
16,1971,0.009513891568
1,1975,0.11558157541
2,1975,0.28324209783
3,1975,0.1803338812
4,1975,0.15553050164
7,1975,0.001331178093
8,1975,0.224683845204
9,1975,0.032871948818
16,1975,0.006424971814
1,1979,0.1624965631
2,1979,0.3681605719
9,1979,0
16,1979,0
8,1979,0.469342865
1,1983,0.13816834304
2,1983,0.21757543674
3,1983,0.20963472737
4,1983,0.061937533086
8,1983,0.37268395977
9,1983,0
16,1983,0
1,1987,0.22071360909
2,1987,0.26555099463
3,1987,0.36311967161
8,1987,0.15061572466
9,1987,0
16,1987,0
1,1991,0.24877707897
2,1991,0.34486373166
3,1991,0.40635918938
8,1991,0
9,1991,0
16,1991,0
1,1995,0.25084976207
2,1995,0.33208701564
3,1995,0.4170632223
8,1995,0
9,1995,0
16,1995,0
1,1999,0.11531069827
2,1999,0.39173606662
3,1999,0.3802049968
4,1999,0.11274823831
8,1999,0
9,1999,0
16,1999,0
1,2003,0.11743575573
2,2003,0.3741365018
3,2003,0.38436032053
4,2003,0.10914617298
8,2003,0
9,2003,0
16,2003,0.014921248964
1,2007,0.099034482759
2,2007,0.22565517241
3,2007,0.32882758621
4,2007,0.15806896552
8,2007,0.1884137931
9,2007,0
16,2007,0
1,2011,0.06023481368
2,2011,0.30857580398
3,2011,0.32210311383
4,2011,0.18785094436
8,2011,0
9,2011,0
13,2011,0.12123532414
16,2011,0
