"party","year","support"
1,1971,0
8,1971,0
9,1971,0
16,1971,0
1,1975,0
8,1975,0
9,1975,0
16,1975,0
1,1979,0
9,1979,0
16,1979,0
8,1979,0
1,1983,0
8,1983,0
9,1983,0
16,1983,0
1,1987,0
8,1987,0
9,1987,0
16,1987,0
1,1991,0
8,1991,0
9,1991,0
16,1991,0
1,1995,0.076884920635
2,1995,0
3,1995,0.1056547619
4,1995,0.54613095238
7,1995,0.12698412698
8,1995,0.013392857143
9,1995,0.019345238095
13,1995,0.023313492063
16,1995,0.088293650794
1,1999,0.010983263598
2,1999,0.002092050209
3,1999,0.16317991632
4,1999,0.52092050209
7,1999,0.21234309623
8,1999,0
9,1999,0
13,1999,0.041317991632
16,1999,0.049163179916
1,2003,0.021220159151
2,2003,0.001326259947
3,2003,0.077586206897
4,2003,0.31697612732
7,2003,0.44429708223
8,2003,0.035809018568
9,2003,0
13,2003,0.044429708223
16,2003,0.058355437666
1,2007,0.053724053724
2,2007,0.007326007326
3,2007,0.070207570208
4,2007,0.35531135531
7,2007,0.34554334554
8,2007,0.001221001221
9,2007,0
13,2007,0.079365079365
16,2007,0.087301587302
1,2011,0.011815920398
2,2011,0.002487562189
3,2011,0.035447761194
4,2011,0.3644278607
7,2011,0.24129353234
8,2011,0.030472636816
9,2011,0
13,2011,0.10572139303
16,2011,0.033582089552
31,2011,0.037935323383
32,2011,0.1368159204
