"party","year","support"
1,1971,0.7675
3,1971,0.0125
4,1971,0.125
8,1971,0
9,1971,0.095
16,1971,0
1,1975,0.797619047615
2,1975,0.002976190476
4,1975,0.098214285714
8,1975,0
9,1975,0.10119047619
16,1975,0
1,1979,0.76988636363
2,1979,0
3,1979,0.045454545455
4,1979,0.045454545455
9,1979,0.048295454545
13,1979,0.045454545455
16,1979,0
8,1979,0.045454545455
1,1983,0.73202614379
2,1983,0
3,1983,0.027777777778
4,1983,0.17810457516
8,1983,0
9,1983,0.062091503268
13,1983,0
16,1983,0
1,1987,0.782608695654
2,1987,0.010230179028
3,1987,0.005115089514
4,1987,0.18158567775
8,1987,0.005115089514
9,1987,0.010230179028
13,1987,0.005115089514
16,1987,0
1,1991,0.61889763779
2,1991,0.004724409449
3,1991,0.051968503937
4,1991,0.11023622047
8,1991,0.028346456693
9,1991,0.075590551181
13,1991,0.053543307087
16,1991,0.056692913386
1,1995,0.590336134456
2,1995,0.11974789916
3,1995,0.042016806723
4,1995,0.079831932773
8,1995,0
9,1995,0.060924369748
13,1995,0
16,1995,0.10714285714
1,1999,0.769820971868
2,1999,0.007672634271
3,1999,0.10485933504
4,1999,0.04347826087
8,1999,0.005115089514
9,1999,0.04347826087
13,1999,0.010230179028
16,1999,0.015345268542
1,2003,0.51047120419
2,2003,0.009162303665
3,2003,0.10602094241
4,2003,0.17931937173
7,2003,0.001308900524
8,2003,0.001308900524
9,2003,0.085078534031
13,2003,0.051047120419
16,2003,0.056282722513
1,2007,0.39358600583
2,2007,0.004373177843
3,2007,0.055393586006
4,2007,0.2915451895
7,2007,0.026239067055
8,2007,0.087463556851
9,2007,0.049562682216
13,2007,0.088921282799
16,2007,0.002915451896
1,2011,0.46385542168
2,2011,0.059036144578
3,2011,0.071084337349
4,2011,0.19759036145
7,2011,0.015662650602
8,2011,0
9,2011,0
13,2011,0.12289156627
16,2011,0.004819277108
31,2011,0.056626506024
32,2011,0.00843373494
