"party","year","support"
1,1971,0.19378714814
2,1971,0.26533587529
3,1971,0.3967702142
8,1971,0.089716272289
9,1971,0
16,1971,0.054390490075
1,1975,0.24494283201
2,1975,0.23306948109
3,1975,0.47273526825
8,1975,0.006816182938
9,1975,0.042436235708
16,1975,0
1,1979,0.26780242677
2,1979,0.25959063611
3,1979,0.41585978674
9,1979,0.056747150386
16,1979,0
8,1979,0
1,1983,0.34080575235
2,1983,0.19044094322
3,1983,0.37379718727
8,1983,0.064396743154
9,1983,0.030559374009
16,1983,0
1,1987,0.32861702128
2,1987,0.21329787234
3,1987,0.30712765957
8,1987,0.108297872341
9,1987,0.005
16,1987,0.037659574468
1,1991,0.2459351672
2,1991,0.21474588404
3,1991,0.28469168627
7,1991,0.017997750281
8,1991,0.082216995603
9,1991,0
13,1991,0.060640147254
16,1991,0.093772369363
1,1995,0.19501586928
2,1995,0.18349594452
3,1995,0.31750323263
4,1995,0.081697425649
8,1995,0.027859409897
9,1995,0
13,1995,0.03785118138
16,1995,0.15657693664
1,1999,0.20610506389
2,1999,0.18942262186
3,1999,0.32075248462
4,1999,0.23272598202
8,1999,0.011831519167
9,1999,0
13,1999,0.031116895409
16,1999,0.008045433034
1,2003,0.17024230187
2,2003,0.18576476527
3,2003,0.3266027259
4,2003,0.2763755679
7,2003,0.014765270066
8,2003,0
9,2003,0
13,2003,0.026249369006
16,2003,0
1,2007,0.13339836605
2,2007,0.17656383368
3,2007,0.2444823802
4,2007,0.35739543958
7,2007,0.025606633337
8,2007,0
9,2007,0
13,2007,0.05511522985
16,2007,0.007438117303
1,2011,0.11130576968
2,2011,0.23721093203
3,2011,0.24094837655
4,2011,0.26407381453
7,2011,0.022775052558
8,2011,0.020555944873
9,2011,0
13,2011,0.03889278206
16,2011,0.001167951413
31,2011,0.0282644242
32,2011,0.034804952114
