"party","year","support"
1,1971,0.15941833849
2,1971,0.030878326826
3,1971,0.3811767874
4,1971,0.13446434182
7,1971,0.044656882546
8,1971,0.128719536825
9,1971,0
16,1971,0.120685786095
1,1975,0.18841443589
2,1975,0.03403056248
3,1975,0.34837975507
4,1975,0.13688089303
7,1975,0.078898883711
8,1975,0.096076731332
9,1975,0.003142950038
16,1975,0.114175788447
1,1979,0.21871392288
2,1979,0.052297390903
3,1979,0.38992149619
4,1979,0.143154006
7,1979,0.079254213807
9,1979,0
16,1979,0.046005541445
8,1979,0.070653428769
1,1983,0.21979359926
2,1983,0.050150742115
3,1983,0.34948979592
4,1983,0.15033627087
7,1983,0.077748144712
8,1983,0.094851576995
9,1983,0
16,1983,0.05762987013
1,1987,0.22620260632
2,1987,0.041508017375
3,1987,0.24009224004
4,1987,0.17670402746
7,1987,0.055773046603
8,1987,0.065962353193
9,1987,0.064299887381
16,1987,0.129457821633
1,1991,0.1607033711
2,1991,0.041468804363
3,1991,0.22168414124
4,1991,0.19695331233
7,1991,0.059100098735
8,1991,0.067375052894
9,1991,0
13,1991,0.068221355024
16,1991,0.184493864311
1,1995,0.16696983798
2,1995,0.04763314861
3,1995,0.2170142561
4,1995,0.20478869665
7,1995,0.041837641186
8,1995,0.060916282414
9,1995,0.022124455349
13,1995,0.049240661619
16,1995,0.189475020098
1,1999,0.17336170213
2,1999,0.086085106383
3,1999,0.22876595745
4,1999,0.33829787234
7,1999,0.045021276596
8,1999,0.028638297873
9,1999,0
13,1999,0.034127659574
16,1999,0.065702127659
1,2003,0.15468600242
2,2003,0.08576072009
3,2003,0.24944784765
4,2003,0.36746259949
7,2003,0.067758469809
8,2003,0.004208859441
9,2003,0.006792515731
13,2003,0.047172563237
16,2003,0.016710422136
1,2007,0.13408421417
2,2007,0.067752555883
3,2007,0.18381562987
4,2007,0.40467856524
7,2007,0.06168774909
8,2007,0.052573210882
9,2007,0
13,2007,0.073020273783
16,2007,0.022387801074
1,2011,0.1179584121
2,2011,0.052236925016
3,2011,0.17690611216
4,2011,0.38572778828
7,2011,0.046754883428
8,2011,0.015721487083
9,2011,0
13,2011,0.063169502205
16,2011,0.019155639571
31,2011,0.040957781979
32,2011,0.081411468179
