"party","year","support"
1,1971,0
2,1971,0.98347107438
8,1971,0.01652892562
9,1971,0
16,1971,0
1,1975,0
2,1975,0.98141263941
8,1975,0.018587360595
9,1975,0
16,1975,0
1,1979,0.33568075117
2,1979,0.57981220657
3,1979,0.053990610329
9,1979,0
16,1979,0
8,1979,0.030516431925
1,1983,0
2,1983,0.961352657
8,1983,0.038647342995
9,1983,0
16,1983,0
1,1987,0
2,1987,0.9751552795
8,1987,0.024844720497
9,1987,0
16,1987,0
1,1991,0
2,1991,0.97530864198
8,1991,0.024691358025
9,1991,0
16,1991,0
1,1995,0.44886363636
2,1995,0.38494318182
8,1995,0.16619318182
9,1995,0
16,1995,0
1,1999,0.89539748954
8,1999,0.014644351464
9,1999,0
16,1999,0.089958158996
1,2003,0.89947089947
8,2003,0.007936507937
9,2003,0
16,2003,0.092592592593
1,2007,0
8,2007,0
9,2007,0
16,2007,0
1,2011,0.27251461988
4,2011,0.5298245614
8,2011,0
9,2011,0
13,2011,0.19766081871
16,2011,0
