"party","year","support"
1,1971,0.1672746222
2,1971,0.62636789995
3,1971,0.1870766024
8,1971,0.019280875456
9,1971,0
16,1971,0
1,1975,0.20532220193
2,1975,0.41481867989
3,1975,0.22775893556
8,1975,0.15210018262
9,1975,0
16,1975,0
1,1979,0.20869819031
2,1979,0.53911266783
3,1979,0.18826619965
9,1979,0
16,1979,0
8,1979,0.063922942207
1,1983,0.29684785307
2,1983,0.47629684785
3,1983,0.18739141226
8,1983,0.039463886821
9,1983,0
16,1983,0
1,1987,0.39027255639
2,1987,0.43937969925
3,1987,0.12852443609
8,1987,0.009398496241
9,1987,0
13,1987,0.03242481203
16,1987,0
1,1991,0.425984061818
2,1991,0.38638010142
3,1991,0.15744989133
8,1991,0
9,1991,0
13,1991,0.030185945424
16,1991,0
1,1995,0.389760528488
2,1995,0.41067987889
3,1995,0.16322598404
8,1995,0
9,1995,0.019543077347
13,1995,0.016790531241
16,1995,0
1,1999,0.274301964841
2,1999,0.3968459152
3,1999,0.17605997932
4,1999,0.12461220269
8,1999,0
9,1999,0
13,1999,0.028179937952
16,1999,0
1,2003,0.22561576355
2,2003,0.31896551724
3,2003,0.21157635468
4,2003,0.21600985222
8,2003,0
9,2003,0
13,2003,0.027832512315
16,2003,0
1,2007,0.151525968234
2,2007,0.46243084062
3,2007,0.13582009638
4,2007,0.17758343744
8,2007,0.022487952882
9,2007,0
13,2007,0.050151704444
16,2007,0
1,2011,0.23577538118
2,2011,0.27779843808
3,2011,0.14726664187
4,2011,0.24116772034
8,2011,0.01059873559
9,2011,0
13,2011,0.073261435478
16,2011,0
32,2011,0.014131647453
