"party","year","support"
1,1971,0.46442885772
2,1971,0.39115731463
3,1971,0.1002004008
4,1971,0.007640280561
8,1971,0
9,1971,0.030561122244
16,1971,0.006012024048
1,1975,0.44971640489
2,1975,0.38972513089
3,1975,0.10929319372
8,1975,0.001963350785
9,1975,0.04930191972
16,1975,0
1,1979,0.43899356618
2,1979,0.38729319853
3,1979,0.11328125
4,1979,0.014016544118
9,1979,0.046415441176
16,1979,0
8,1979,0
1,1983,0.45076452599
2,1983,0.38481141692
3,1983,0.10550458716
4,1983,0.009276248726
8,1983,0.007645259939
9,1983,0.041997961264
16,1983,0
1,1987,0.42528283325
2,1987,0.41731431382
3,1987,0.045745204132
4,1987,0.003639940974
8,1987,0.006886374816
9,1987,0.08243974422
13,1987,0.018691588785
16,1987,0
1,1991,0.38251910934
2,1991,0.34081090063
3,1991,0.039714190761
4,1991,0.004320372217
8,1991,0.010385510136
9,1991,0.066218012629
13,1991,0.007394483217
16,1991,0
18,1991,0.14863742107
1,1995,0.39984760453
2,1995,0.34917611201
3,1995,0.092104009906
4,1995,0.001428707496
8,1995,0.008762739309
9,1995,0.005905324317
13,1995,0.017239737118
16,1995,0
18,1995,0.12553576531
1,1999,0.33818853216
2,1999,0.3174684583
3,1999,0.11467842856
4,1999,0.053851677095
7,1999,0.000307723869
8,1999,0.002872089445
9,1999,0.006359626628
13,1999,0.014360447225
16,1999,0
18,1999,0.15191301672
1,2003,0.36394959638
2,2003,0.28814727309
3,2003,0.18497735775
4,2003,0.058869856271
8,2003,0.014963575507
9,2003,0
13,2003,0.021067139201
16,2003,0
18,2003,0.068025201811
1,2007,0.30911750366
2,2007,0.28044856168
3,2007,0.13203315456
4,2007,0.11292052657
8,2007,0.007215992199
9,2007,0.007508532423
13,2007,0.028083861531
16,2007,0
18,2007,0.12267186738
1,2011,0.32759904061
2,2011,0.21181043752
3,2011,0.10545033496
4,2011,0.12033744107
8,2011,0.022247953023
9,2011,0.005375899429
13,2011,0.047473327268
16,2011,0
18,2011,0.15970556612
