"party","year","support"
1,1971,0.083846830986
2,1971,0.007482394366
3,1971,0.19916373239
4,1971,0.56756161972
7,1971,0.076584507042
8,1971,0.041373239437
9,1971,0
16,1971,0.023987676056
1,1975,0.041581458759
2,1975,0.000681663258
3,1975,0.14814814815
4,1975,0.5744149057
7,1975,0.089979550102
8,1975,0.074074074074
9,1975,0.000227221086
16,1975,0.070892978869
1,1979,0.056105610561
3,1979,0.17865786579
4,1979,0.59801980198
7,1979,0.030363036304
9,1979,0.003520352035
16,1979,0.085148514851
8,1979,0.048184818482
1,1983,0.077456075229
2,1983,0.000247463499
3,1983,0.15045780747
4,1983,0.54070774561
7,1983,0.02004454343
8,1983,0.105666914131
9,1983,0.014847809948
16,1983,0.090571640683
1,1987,0.21183098592
2,1987,0
3,1987,0.13943661972
4,1987,0.30225352113
7,1987,0.025633802817
8,1987,0.08
9,1987,0.020845070423
13,1987,0.063098591549
16,1987,0.156901408451
1,1991,0.073673870334
2,1991,0.003192534381
3,1991,0.10314341847
4,1991,0.46586444008
7,1991,0.065324165029
8,1991,0.042730844794
9,1991,0.024803536346
13,1991,0.071463654224
16,1991,0.149803536345
1,1995,0.2012195122
2,1995,0.001590668081
3,1995,0.10737009544
4,1995,0.34517497349
7,1995,0.05487804878
8,1995,0.00980911983
9,1995,0.007953340403
13,1995,0.04347826087
16,1995,0.228525980907
1,1999,0.12106063899
2,1999,0.016735492284
3,1999,0.14214301239
4,1999,0.47880895458
7,1999,0.030645511845
8,1999,0.024777222342
9,1999,0
13,1999,0.039556618126
16,1999,0.146272549445
1,2003,0.098710538017
2,2003,0.021565140062
3,2003,0.13294797688
4,2003,0.53823921743
7,2003,0.050689195198
8,2003,0.012449977768
9,2003,0
13,2003,0.054468652735
16,2003,0.090929301912
1,2007,0.25186158563
2,2007,0.05102934735
3,2007,0.10950503723
4,2007,0.38129653964
7,2007,0.043363994744
8,2007,0.012483574244
9,2007,0
13,2007,0.080376697328
16,2007,0.070083223828
1,2011,0.077676696991
2,2011,0.015045486354
3,2011,0.080825752274
4,2011,0.36179146256
7,2011,0.022918124563
8,2011,0.027641707488
9,2011,0.000699790063
13,2011,0.10321903429
16,2011,0.054408677396
31,2011,0.03166550035
32,2011,0.22410776767
