"party","year","support"
1,1971,0
2,1971,0.86253369272
3,1971,0.13746630728
8,1971,0
9,1971,0
16,1971,0
1,1975,0
2,1975,0.91127348643
3,1975,0.080375782881
8,1975,0.008350730689
9,1975,0
16,1975,0
1,1979,0.13669064748
2,1979,0.82425488181
3,1979,0.007194244604
9,1979,0
16,1979,0
8,1979,0.031860226105
1,1983,0.030103480715
2,1983,0.9012229539
3,1983,0.068673565381
8,1983,0
9,1983,0
16,1983,0
1,1987,0.021788990826
2,1987,0.89105504587
3,1987,0.077981651376
8,1987,0.008027522936
9,1987,0
13,1987,0.001146788991
16,1987,0
1,1991,0.003416856492
2,1991,0.784738041
3,1991,0.20273348519
8,1991,0
9,1991,0
13,1991,0.009111617312
16,1991,0
1,1995,0.01509054326
2,1995,0.90543259557
3,1995,0.076458752515
8,1995,0
9,1995,0
13,1995,0.003018108652
16,1995,0
1,1999,0.00449943757
2,1999,0.70303712036
3,1999,0.2429696288
4,1999,0.041619797525
8,1999,0
9,1999,0
13,1999,0.007874015748
16,1999,0
1,2003,0
2,2003,0.7180783818
3,2003,0.15044247788
4,2003,0.13147914033
8,2003,0
9,2003,0
13,2003,0
16,2003,0
1,2007,0.012987012987
2,2007,0.70929070929
3,2007,0.084915084915
4,2007,0.18081918082
8,2007,0
9,2007,0
13,2007,0.011988011988
16,2007,0
1,2011,0.016536118364
2,2011,0.58137510879
3,2011,0.25848563969
4,2011,0.10879025239
8,2011,0
9,2011,0
13,2011,0.031331592689
16,2011,0
32,2011,0.003481288077
